caseID,Activity,attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17
266,a,2,1,0,1,0,7,1,2,0,0,3,0,0,0,0,1,0
266,b,2,1,0,1,0,7,1,2,0,0,3,0,0,0,0,1,0
266,j,2,1,0,1,0,7,1,2,0,0,3,0,0,0,0,1,0
266,b,2,1,0,1,0,7,1,2,0,0,3,0,0,0,0,1,0
266,g,2,1,0,1,0,7,1,2,0,0,3,0,0,0,0,1,0
266,e,2,1,0,1,0,7,1,2,0,0,3,0,0,0,0,1,0
266,c,2,1,0,1,0,7,1,2,0,0,3,0,0,0,0,1,0
266,e,2,1,0,1,0,7,1,2,0,0,3,0,0,0,0,1,0
266,c,2,1,0,1,0,7,1,2,0,0,3,0,0,0,0,1,0
266,h,2,1,0,1,0,7,1,2,0,0,3,0,0,0,0,1,0
266,e,2,1,0,1,0,7,1,2,0,0,3,0,0,0,0,1,0
266,d,2,1,0,1,0,7,1,2,0,0,3,0,0,0,0,1,0
266,i,2,1,0,1,0,7,1,2,0,0,3,0,0,0,0,1,0
266,f,2,1,0,1,0,7,1,2,0,0,3,0,0,0,0,1,0
266,d,2,1,0,1,0,7,1,2,0,0,3,0,0,0,0,1,0
266,n,2,1,0,1,0,7,1,2,0,0,3,0,0,0,0,1,0
266,o,2,1,0,1,0,7,1,2,0,0,3,0,0,0,0,1,0
267,a,2,1,1,2,1,6,1,2,0,1,3,1,0,0,0,1,0
267,e,2,1,1,2,1,6,1,2,0,1,3,1,0,0,0,1,0
267,j,2,1,1,2,1,6,1,2,0,1,3,1,0,0,0,1,0
267,i,2,1,1,2,1,6,1,2,0,1,3,1,0,0,0,1,0
267,c,2,1,1,2,1,6,1,2,0,1,3,1,0,0,0,1,0
267,e,2,1,1,2,1,6,1,2,0,1,3,1,0,0,0,1,0
267,f,2,1,1,2,1,6,1,2,0,1,3,1,0,0,0,1,0
267,d,2,1,1,2,1,6,1,2,0,1,3,1,0,0,0,1,0
267,d,2,1,1,2,1,6,1,2,0,1,3,1,0,0,0,1,0
267,n,2,1,1,2,1,6,1,2,0,1,3,1,0,0,0,1,0
267,o,2,1,1,2,1,6,1,2,0,1,3,1,0,0,0,1,0
268,a,2,1,0,1,1,5,3,2,1,0,1,0,0,0,0,0,0
268,c,2,1,0,1,1,5,3,2,1,0,1,0,0,0,0,0,0
268,b,2,1,0,1,1,5,3,2,1,0,1,0,0,0,0,0,0
268,j,2,1,0,1,1,5,3,2,1,0,1,0,0,0,0,0,0
268,g,2,1,0,1,1,5,3,2,1,0,1,0,0,0,0,0,0
268,c,2,1,0,1,1,5,3,2,1,0,1,0,0,0,0,0,0
268,h,2,1,0,1,1,5,3,2,1,0,1,0,0,0,0,0,0
268,f,2,1,0,1,1,5,3,2,1,0,1,0,0,0,0,0,0
268,d,2,1,0,1,1,5,3,2,1,0,1,0,0,0,0,0,0
268,n,2,1,0,1,1,5,3,2,1,0,1,0,0,0,0,0,0
268,o,2,1,0,1,1,5,3,2,1,0,1,0,0,0,0,0,0
269,a,1,0,0,1,1,3,1,2,0,1,1,1,0,0,0,1,2
269,c,1,0,0,1,1,3,1,2,0,1,1,1,0,0,0,1,2
269,e,1,0,0,1,1,3,1,2,0,1,1,1,0,0,0,1,2
269,h,1,0,0,1,1,3,1,2,0,1,1,1,0,0,0,1,2
269,i,1,0,0,1,1,3,1,2,0,1,1,1,0,0,0,1,2
269,h,1,0,0,1,1,3,1,2,0,1,1,1,0,0,0,1,2
269,k,1,0,0,1,1,3,1,2,0,1,1,1,0,0,0,1,2
269,f,1,0,0,1,1,3,1,2,0,1,1,1,0,0,0,1,2
269,d,1,0,0,1,1,3,1,2,0,1,1,1,0,0,0,1,2
269,n,1,0,0,1,1,3,1,2,0,1,1,1,0,0,0,1,2
269,o,1,0,0,1,1,3,1,2,0,1,1,1,0,0,0,1,2
270,a,2,1,0,1,1,1,1,3,1,0,1,0,0,0,0,1,0
270,e,2,1,0,1,1,1,1,3,1,0,1,0,0,0,0,1,0
270,b,2,1,0,1,1,1,1,3,1,0,1,0,0,0,0,1,0
270,c,2,1,0,1,1,1,1,3,1,0,1,0,0,0,0,1,0
270,j,2,1,0,1,1,1,1,3,1,0,1,0,0,0,0,1,0
270,i,2,1,0,1,1,1,1,3,1,0,1,0,0,0,0,1,0
270,g,2,1,0,1,1,1,1,3,1,0,1,0,0,0,0,1,0
270,e,2,1,0,1,1,1,1,3,1,0,1,0,0,0,0,1,0
270,h,2,1,0,1,1,1,1,3,1,0,1,0,0,0,0,1,0
270,k,2,1,0,1,1,1,1,3,1,0,1,0,0,0,0,1,0
270,e,2,1,0,1,1,1,1,3,1,0,1,0,0,0,0,1,0
270,d,2,1,0,1,1,1,1,3,1,0,1,0,0,0,0,1,0
270,f,2,1,0,1,1,1,1,3,1,0,1,0,0,0,0,1,0
270,d,2,1,0,1,1,1,1,3,1,0,1,0,0,0,0,1,0
270,l,2,1,0,1,1,1,1,3,1,0,1,0,0,0,0,1,0
270,n,2,1,0,1,1,1,1,3,1,0,1,0,0,0,0,1,0
270,o,2,1,0,1,1,1,1,3,1,0,1,0,0,0,0,1,0
271,a,1,1,0,1,1,2,1,1,0,1,3,0,0,0,0,0,0
271,h,1,1,0,1,1,2,1,1,0,1,3,0,0,0,0,0,0
271,b,1,1,0,1,1,2,1,1,0,1,3,0,0,0,0,0,0
271,e,1,1,0,1,1,2,1,1,0,1,3,0,0,0,0,0,0
271,g,1,1,0,1,1,2,1,1,0,1,3,0,0,0,0,0,0
271,d,1,1,0,1,1,2,1,1,0,1,3,0,0,0,0,0,0
271,f,1,1,0,1,1,2,1,1,0,1,3,0,0,0,0,0,0
271,d,1,1,0,1,1,2,1,1,0,1,3,0,0,0,0,0,0
271,h,1,1,0,1,1,2,1,1,0,1,3,0,0,0,0,0,0
271,d,1,1,0,1,1,2,1,1,0,1,3,0,0,0,0,0,0
271,n,1,1,0,1,1,2,1,1,0,1,3,0,0,0,0,0,0
271,o,1,1,0,1,1,2,1,1,0,1,3,0,0,0,0,0,0
272,a,1,0,0,1,1,2,2,3,1,1,3,0,0,0,0,0,0
272,e,1,0,0,1,1,2,2,3,1,1,3,0,0,0,0,0,0
272,j,1,0,0,1,1,2,2,3,1,1,3,0,0,0,0,0,0
272,g,1,0,0,1,1,2,2,3,1,1,3,0,0,0,0,0,0
272,e,1,0,0,1,1,2,2,3,1,1,3,0,0,0,0,0,0
272,h,1,0,0,1,1,2,2,3,1,1,3,0,0,0,0,0,0
272,b,1,0,0,1,1,2,2,3,1,1,3,0,0,0,0,0,0
